anime,title,number,released,video,type,host,status,thumbnail
Dragon Ball,Dragon Ball Episode 72,72,,https://filemoon.sx/e/rc4dzdvrc35q/Srdragonballe072;https://filemoon.sx/e/2qf91dlrvayb/Srdragonballe072,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 73,73,,https://filemoon.sx/e/lkpkju8u92n0/Srdragonballe073;https://filemoon.sx/e/kynwr65co3y1/Srdragonballe073,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 74,74,,https://filemoon.sx/e/dnl6zdaysz8q/Srdragonballe074;https://filemoon.sx/e/8ck004za8l5x/Srdragonballe074,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 75,75,,https://filemoon.sx/e/lh3l4dtwjirn/Srdragonballe075;https://filemoon.sx/e/23z4zdndxtx2/Srdragonballe075,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 76,76,,https://filemoon.sx/e/ek9rqqveinvm/Srdragonballe076;https://filemoon.sx/e/fkytwz24ecvk/Srdragonballe076,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 77,77,,https://filemoon.sx/e/ak7zn87swt8b/Srdragonballe077;https://filemoon.sx/e/13znrwfefosx/Srdragonballe077,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 78,78,,https://filemoon.sx/e/txs0svmwra84/Srdragonballe078;https://filemoon.sx/e/991cq9n4262g/Srdragonballe078,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 79,79,,https://filemoon.sx/e/uuvt24m30r7t/Srdragonballe079;https://filemoon.sx/e/skrwrurt5zau/Srdragonballe079,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 80,80,,https://filemoon.sx/e/r64cvkn8ps2e/Srdragonballe080;https://filemoon.sx/e/ovvpy368rqvw/Srdragonballe080,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 81,81,,https://filemoon.sx/e/3cqrsfp63hrb/Srdragonballe081;https://filemoon.sx/e/tharamg05324/Srdragonballe081,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 82,82,,https://filemoon.sx/e/elhdwu9il6p7/Srdragonballe082;https://filemoon.sx/e/e5tubpqy127e/Srdragonballe082,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 83,83,,https://filemoon.sx/e/q9zjgaq53eeq/Srdragonballe083;https://filemoon.sx/e/ri4s108ckeuy/Srdragonballe083,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 84,84,,https://filemoon.sx/e/bc6nmc40yzwo/Srdragonballe084;https://filemoon.sx/e/hciyoe88z04m/Srdragonballe084,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 85,85,,https://filemoon.sx/e/9wog78v0qagh/Srdragonballe085;https://filemoon.sx/e/tcw9ksix6r4q/Srdragonballe085,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 86,86,,https://filemoon.sx/e/nknfd8ixfz9w/Srdragonballe086;https://filemoon.sx/e/6qujlgumeo52/Srdragonballe086,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 87,87,,https://filemoon.sx/e/5af37y46ky2y/Srdragonballe087;https://filemoon.sx/e/snzn1if9qb2v/Srdragonballe087,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 88,88,,https://filemoon.sx/e/slkqsyffnd7j/Srdragonballe088;https://filemoon.sx/e/otyi4s01guku/Srdragonballe088,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 89,89,,https://filemoon.sx/e/7bdxro5vw2jr/Srdragonballe089;https://filemoon.sx/e/qjcobvujzuyg/Srdragonballe089,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 90,90,,https://filemoon.sx/e/6tqcbaud4ag8/Srdragonballe090;https://filemoon.sx/e/mow2v5dtwdbl/Srdragonballe090,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 91,91,,https://filemoon.sx/e/35kih9vwfzgd/Srdragonballe091;https://filemoon.sx/e/xw5h74swwll7/Srdragonballe091,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 92,92,,https://filemoon.sx/e/pelx3vcesnnx/Srdragonballe092;https://filemoon.sx/e/h466v1m97ji5/Srdragonballe092,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 93,93,,https://filemoon.sx/e/shz5sda2jm4x/Srdragonballe093;https://filemoon.sx/e/nf98ugl3614b/Srdragonballe093,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 94,94,,https://filemoon.sx/e/k1wdvfi773sy/Srdragonballe094;https://filemoon.sx/e/jeljov3c5vv5/Srdragonballe094,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 95,95,,https://filemoon.sx/e/nl2ucl98q28q/Srdragonballe095;https://filemoon.sx/e/2k2jp0wtwbks/Srdragonballe095,sub;dub,FileMoon;FileMoon,publish,
Dragon Ball,Dragon Ball Episode 96,96,,https://filemoon.sx/e/8uo01ifemdqd/Srdragonballe096;https://filemoon.sx/e/cjhtpubjcht9/Srdragonballe096,sub;dub,FileMoon;FileMoon,publish,
